Day,Mean
19,ใครได้แฟนเกิดวันที่นี้เหมือนได้แฟนมนุษย์ต่างดาวในชีวิต หงุดหงิด งี้เง่า ชอบพูดจาภาษาต่างดาว ชอบพูดภาษาส่วนตัว บทจะน่ารักก็น่ารัก บทจะดื้อก็ดื้อ บทจะไม่ฟังเหตุผลใครก็ไม่ฟัง จึงเรียกว่าอารมณ์แบบเด็กๆ หรือหมายถึงเด็กนั่นเอง
20,ใครเกิดวันที่ที่มีเลข 0 อยู่ด้วย คนเหล่านี้จัดให้เลยตำแหน่งชอบยุ่งเรื่องชาวบ้าน แต่เอาตัวเองไม่รอดเอะอะอะไรก็ ตอบแทนคนอื่นไปหมด แต่ตัวเองตอบเรื่องปัญหาตัวเองไม่ได้ ถ้าเลขนี้ไปปรากฏอยู่ในเลขที่บ้านหรือทะเบียนรถ แปลว่าคนเหล่านั้นหรือบ้านเหล่านั้นมักจะอยู่เป็นเหมือนของสาธารณะ มีแต่คนมาช่วยใช้ มีแต่คนมาหยิบยืม มีแต่ภาระของคนอื่น แล้วก็มักทะเลาะกับคนในครอบครัวเยอะแยะมากมายเลย คือดีกับคนอื่น แต่ก็เอาเรื่องของคนอื่นมาทะเลาะกับครอบครัว นี่คืออุปนิสัยของคนที่เกิดวันที่มีเลข 0 นั่นเอง
21,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง เป็นคนค่อนข้างคิดเยอะ ในหัวเป็นคนช่างคิด เพราะฉะนั้นให้ระวังโรคปวดต้นคอ หรือว่าลม กรด แก๊ส ในกระเพาะเยอะ มีอาการมึนหัวบ่อยๆ
22,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง ไม่ว่าใครเกิดในวันที่นี้ ใครอยากได้เป็นแฟนต้องทำใจหน่อย ตอนจีบกันห้ามสัญญาอะไรเด็ดขาด เพราะว่าคนเกิดในวันที่นี้เป็นคนช่างจด ช่างจำ เวลาผิดหวังไม่ได้ดั่งใจ อะไรที่เคยสัญญาไว้ ตายไป 7 ชาติ ยังขุดขึ้นมาด่าได้เลย เพราะฉะนั้นคนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวังเรียกว่าธาตุอ่อนนั่นเอง
23,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง คนที่เกิดในวันที่นี้จะให้ความสำคัญอยู่ 2 เรื่อง เรื่องแรกคือหลักในชีวิตเขาคือความรัก ใครที่เกิดวันที่ 3 จะเป็นคนรักใคร รักจริง ใครอยากได้คนที่รักจริง ก็ให้จีบไว้เลย คนที่เกิดในวันที่มีเลข 3 อยู่ จะดีมากๆ แต่ระวังให้ดีนะครับ คนเกิดวันที่นี้ด้วยความที่เขารักใครรักจริง เพราะฉะนั้นเขาจะมีทุกขี้ในตัวเอง ขี้หึง ขี้หวง จำผิด เหน็บแนม ประชดประชัน จิกกัด ทุกอย่างเลย ก็เพราะว่าเขารักคุณ ถ้าไม่สมหวังในความรักก็อาจจะจบด้วยการ ทำร้ายตัวเอง หรือฆ่าตัวตายได้
24,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง ทำใจไว้ด้วยเวลามีปัญหา มีอะไรกันอย่าทะเลาะเป็นอันขาดเพราะ ปากตรงด่าเจ็บ เป็นคนที่พูดจาทิ่มแทงหัวใจได้อย่างดีมาก ผู้หญิงที่เกิดวันที่มีเลข 4 ให้ระวังเรื่องประจำเดือนมาไม่ปกติ ด้วยความที่เป็นคนที่เก็บกดแล้วคิดมากจนเกินไป จะทำให้ระบบหมุนเวียนของโลหิตไม่ค่อยดี ใบหน้าจะไม่มีสีเลือด ประจำเดือนจะมาผิดเวลา มาก่อนมาหลังเร็วจนเกินไป
25,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง ใครได้แฟนเกิดวันที่นี้ทำใจได้เลย อารมณ์ร้อน หงุดหงิด โมโห ทำอะไรเร็ว เป็นมนุษย์ไฮเปอร์ รอใครไม่ค่อยเป็น เพราะฉะนั้นเลข 5 จึงเป็นเลขของอารมณ์ คนเกิดในวันที่นี้ให้ระวังเรื่องอารมณ์ให้ดี ส่วนใหญ่ชีวิตจะผิดพลาดในเรื่องของอารมณ์ตนเอง ด่วนได้ ด่วนเร็ว ด่วนตัดสินใจ จนขาดความรอบคอบ อันนี้ถือว่าไม่ดี ส่วนถ้าเป็นผู้หญิงที่มีเลข 5 อยู่ให้ระวังเกี่ยวกับเรื่องของประจำเดือนไม่ดีเช่นเดียวกัน โดยเฉพาะประจำเดือนสีเลือดจะมาแบบผิดปกติ เลือดจะออกเป็นลิ่มเลือดปนน้ำออกมาด้วย นั่นหมายถึงมีภาวะอาจจะมีลูกยากได้ ให้ระวังเรื่องเกี่ยวกับความดัน ไม่ว่าจะเป็นความดันสูง ความดันต่ำ โรคหัวใจ
26,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง เลข 6 มีลักษณะเขียนเป็นตัวคอโค้ง นั่นหมายถึงคนที่เกิดวันที่นี้จะมีปัญหาเกี่ยวกับเรื่องเส้นประสาทตา ใส่แว่นตา หรือปวดบริเวณต้นคอบ่อย เลข 6 จึงเป็นเลขของการระแวง ระแวดระวัง คนเกิดวันที่นี้มีเพื่อนเหมือนจะเยอะแต่ที่สนิทจริงๆ มีน้อย
27,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง ใครได้แฟนเกิดวันที่นี้คุณโชคดี ดีมากๆ ครับคุณจะได้ พระเอกนางเอกในละครน้ำเน่า มาอยู่ในชีวิตของคุณ เอะอะก็ดราม่าร้องไห้ เถียงอะไรก็ไม่ได้จะร้องไห้ ชอบทำหน้าตาน่าสงสาร
28,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง จำไว้เลยว่าใครได้แฟนวันที่นี้ เขาเรียกว่าพวกหน้าเงิน ในชีวิตของเขามีแต่เรื่องเงิน เอะอะอะไรก็พูดเรื่องเงิน วางเป้าหมายในชีวิตเยอะมาก อยากทำโน่น อยากทำนี่ แต่ไม่เคยลงมือจริงจังกับมันสักที
29,คนเกิดวันที่มีเลข 2 เป็นคนย้ำคิด ย้ำทำ คนเกิดวันที่นี้ให้ระวังเวลากินอาหารจะผิดสำแดงง่าย ท้องเสียง่าย ให้ระมัดระวัง ใครได้แฟนเกิดวันที่นี้เหมือนได้แฟนมนุษย์ต่างดาวในชีวิต หงุดหงิด งี้เง่า ชอบพูดจาภาษาต่างดาว ชอบพูดภาษาส่วนตัว บทจะน่ารักก็น่ารัก บทจะดื้อก็ดื้อ บทจะไม่ฟังเหตุผลใครก็ไม่ฟัง จึงเรียกว่าอารมณ์แบบเด็กๆ หรือหมายถึงเด็กนั่นเอง
30,คนที่เกิดในวันที่นี้จะให้ความสำคัญอยู่ 2 เรื่อง เรื่องแรกคือหลักในชีวิตเขาคือความรัก ใครที่เกิดวันที่ 3 จะเป็นคนรักใคร รักจริง ใครอยากได้คนที่รักจริง ก็ให้จีบไว้เลย คนที่เกิดในวันที่มีเลข 3 อยู่ จะดีมากๆ แต่ระวังให้ดีนะครับ คนเกิดวันที่นี้ด้วยความที่เขารักใครรักจริง เพราะฉะนั้นเขาจะมีทุกขี้ในตัวเอง ขี้หึง ขี้หวง จำผิด เหน็บแนม ประชดประชัน จิกกัด ทุกอย่างเลย ก็เพราะว่าเขารักคุณ ถ้าไม่สมหวังในความรักก็อาจจะจบด้วยการ ทำร้ายตัวเอง หรือฆ่าตัวตายได้ ใครเกิดวันที่ที่มีเลข 0 อยู่ด้วย คนเหล่านี้จัดให้เลยตำแหน่งชอบยุ่งเรื่องชาวบ้าน แต่เอาตัวเองไม่รอดเอะอะอะไรก็ ตอบแทนคนอื่นไปหมด แต่ตัวเองตอบเรื่องปัญหาตัวเองไม่ได้
31,คนที่เกิดในวันที่นี้จะให้ความสำคัญอยู่ 2 เรื่อง เรื่องแรกคือหลักในชีวิตเขาคือความรัก ใครที่เกิดวันที่ 3 จะเป็นคนรักใคร รักจริง ใครอยากได้คนที่รักจริง ก็ให้จีบไว้เลย คนที่เกิดในวันที่มีเลข 3 อยู่ จะดีมากๆ แต่ระวังให้ดีนะครับ คนเกิดวันที่นี้ด้วยความที่เขารักใครรักจริง เพราะฉะนั้นเขาจะมีทุกขี้ในตัวเอง ขี้หึง ขี้หวง จำผิด เหน็บแนม ประชดประชัน จิกกัด ทุกอย่างเลย ก็เพราะว่าเขารักคุณ ถ้าไม่สมหวังในความรักก็อาจจะจบด้วยการ ทำร้ายตัวเอง หรือฆ่าตัวตายได้ เป็นคนค่อนข้างคิดเยอะ ในหัวเป็นคนช่างคิด เพราะฉะนั้นให้ระวังโรคปวดต้นคอ หรือว่าลม กรด แก๊ส ในกระเพาะเยอะ มีอาการมึนหัวบ่อยๆ
