phone,price,double_num,category
0912366004,26499,"91,12,23,36,66,60,00,04,","การงาน,ประมาท,ความเครียด,ความรัก,การเงิน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,"
0912836006,10500,"91,12,28,83,36,60,00,06,","การงาน,ประมาท,ความเครียด,การเงิน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0990151631,129,"99,90,01,15,51,16,63,31,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,การเงิน,ความรัก,การเรียน,การงาน,"
0919205034,1590,"91,19,92,20,05,50,03,34,","การงาน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,ประมาท,ชีวิตอุปสรรค,ความเครียด,"
0910687989,420,"91,10,06,68,87,79,98,89,","การงาน,ประมาท,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ความมั่นคง,"
0990115208,54,"99,90,01,11,15,52,20,08,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,การเงิน,ความรัก,การเรียน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0919430072,320,"91,19,94,43,30,00,07,72,","การงาน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านความรัก,ประมาท,ปัญหาด้านสุขภาพ,"
0919555557,249999,"91,19,95,55,55,55,55,57,","การงาน,การเงิน,มีปัญหาด้านการเงิน,ความเครียด,"
0917880794,75,"91,17,78,88,80,07,79,94,","การงาน,ชีวิตอุปสรรค,ความเครียด,มีปัญหาด้านการเงิน,ประมาท,ปัญหาด้านสุขภาพ,"
0917013444,750,"91,17,70,01,13,34,44,44,","การงาน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0991242579,1500,"99,91,12,24,42,25,57,79,","ความมั่นคง,การงาน,ประมาท,ความเครียด,ความรัก,มีปัญหาด้านการเงิน,"
0913227791,982,"91,13,32,22,27,77,79,91,","การงาน,ประมาท,ความรัก,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ความเครียด,"
0910166846,1100,"91,10,01,16,66,68,84,46,","การงาน,ประมาท,ชีวิตอุปสรรค,การเรียน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0912176680,47000,"91,12,21,17,76,66,68,80,","การงาน,ประมาท,ความเครียด,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านสุขภาพ,"
0914100724,4500,"91,14,41,10,00,07,72,24,","การงาน,การเงิน,การเรียน,ประมาท,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านสุขภาพ,ปัญหาด้านความรัก,"
0991241813,3000,"99,91,12,24,41,18,81,13,","ความมั่นคง,การงาน,ประมาท,ความเครียด,ความรัก,การเรียน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0990428138,200,"99,90,04,42,28,81,13,38,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ความรัก,การเงิน,การงาน,มีปัญหาด้านการเงิน,ประมาท,ปัญหาด้านความรัก,"
0917720294,810,"91,17,77,72,20,02,29,94,","การงาน,ชีวิตอุปสรรค,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0916351467,189,"91,16,63,35,51,14,46,67,","การงาน,การเรียน,การเงิน,ความรัก,ชีวิตอุปสรรค,"
0919257950,489,"91,19,92,25,57,79,95,50,","การงาน,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านสุขภาพ,"
0916404525,301,"91,16,64,40,04,45,52,25,","การงาน,การเรียน,ความรัก,ชีวิตอุปสรรค,การเงิน,"
0914740006,6500,"91,14,47,74,40,00,00,06,","การงาน,การเงิน,การเรียน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านความรัก,"
0991101047,849,"99,91,11,10,01,10,04,47,","ความมั่นคง,การงาน,ประมาท,ชีวิตอุปสรรค,"
0912871018,11900,"91,12,28,87,71,10,01,18,","การงาน,ประมาท,ความเครียด,การเงิน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0991459133,90,"99,91,14,45,59,91,13,33,","ความมั่นคง,การงาน,การเงิน,การเรียน,ประมาท,"
0913197681,3350,"91,13,31,19,97,76,68,81,","การงาน,ประมาท,การเงิน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0919376574,489,"91,19,93,37,76,65,57,74,","การงาน,การเรียน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,"
0919439447,390,"91,19,94,43,39,94,44,47,","การงาน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านความรัก,การเรียน,"
0914501633,328,"91,14,45,50,01,16,63,33,","การงาน,การเงิน,การเรียน,ปัญหาด้านสุขภาพ,ประมาท,ชีวิตอุปสรรค,"
0913210794,645,"91,13,32,21,10,07,79,94,","การงาน,ประมาท,ความรัก,ความเครียด,ชีวิตอุปสรรค,ปัญหาด้านสุขภาพ,การเงิน,"
0919311803,890,"91,19,93,31,11,18,80,03,","การงาน,การเรียน,ประมาท,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านสุขภาพ,"
0913697303,464,"91,13,36,69,97,73,30,03,","การงาน,ประมาท,การเงิน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านสุขภาพ,"
0919316804,390,"91,19,93,31,16,68,80,04,","การงาน,การเรียน,ประมาท,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านสุขภาพ,ชีวิตอุปสรรค,"
0993869530,39,"99,93,38,86,69,95,53,30,","ความมั่นคง,การเรียน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,การงาน,ประมาท,ปัญหาด้านสุขภาพ,"
0991241128,699,"99,91,12,24,41,11,12,28,","ความมั่นคง,การงาน,ประมาท,ความเครียด,ความรัก,การเรียน,ชีวิตอุปสรรค,การเงิน,"
0919489009,750,"91,19,94,48,89,90,00,09,","การงาน,ชีวิตอุปสรรค,ปัญหาด้านความรัก,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,"
0910990608,450,"91,10,09,99,90,06,60,08,","การงาน,ประมาท,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ความมั่นคง,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0990999522,150,"99,90,09,99,99,95,52,22,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,การเงิน,ความรัก,"
0990151562,195,"99,90,01,15,51,15,56,62,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,การเงิน,ความรัก,การเรียน,การงาน,"
0991246616,1599,"99,91,12,24,46,66,61,16,","ความมั่นคง,การงาน,ประมาท,ความเครียด,ความรัก,การเรียน,"
0918447110,647,"91,18,84,44,47,71,11,10,","การงาน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ความเครียด,ประมาท,"
0990346006,350,"99,90,03,34,46,60,00,06,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,การงาน,"
0916826335,110,"91,16,68,82,26,63,33,35,","การงาน,การเรียน,มีปัญหาด้านการเงิน,ความรัก,"
0919891040,1449,"91,19,98,89,91,10,04,40,","การงาน,ความมั่นคง,ประมาท,ชีวิตอุปสรรค,"
0915342193,376,"91,15,53,34,42,21,19,93,","การงาน,การเงิน,ความรัก,การเรียน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านความรัก,ประมาท,"
0919080287,399,"91,19,90,08,80,02,28,87,","การงาน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0912300047,110000,"91,12,23,30,00,00,04,47,","การงาน,ประมาท,ความเครียด,ความรัก,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ชีวิตอุปสรรค,"
0912027805,14000,"91,12,20,02,27,78,80,05,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,ปัญหาด้านสุขภาพ,"
0919500980,2090,"91,19,95,50,00,09,98,80,","การงาน,การเงิน,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ความเครียด,ชีวิตอุปสรรค,ความมั่นคง,"
0912678239,9500,"91,12,26,67,78,82,23,39,","การงาน,ประมาท,ความเครียด,การเงิน,ความรัก,ชีวิตอุปสรรค,การเรียน,"
0910875687,800,"91,10,08,87,75,56,68,87,","การงาน,ประมาท,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,"
0992800700,4790,"99,92,28,80,00,07,70,00,","ความมั่นคง,การงาน,การเงิน,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ชีวิตอุปสรรค,"
0919625171,800,"91,19,96,62,25,51,17,71,","การงาน,การเงิน,ความรัก,การเรียน,ชีวิตอุปสรรค,ความเครียด,"
0919551568,120,"91,19,95,55,51,15,56,68,","การงาน,การเงิน,ความรัก,การเรียน,มีปัญหาด้านการเงิน,"
9917301619,180,"91,17,73,30,01,16,61,19,","การงาน,ชีวิตอุปสรรค,ความเครียด,มีปัญหาด้านการเงิน,ประมาท,ปัญหาด้านสุขภาพ,การเรียน,"
0912006087,11000,"91,12,20,00,06,60,08,87,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,"
0910198935,399,"91,10,01,19,98,89,93,35,","การงาน,ประมาท,ชีวิตอุปสรรค,ความมั่นคง,การเรียน,"
0990530301,999,"99,90,05,53,30,03,30,01,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,การงาน,ประมาท,"
0991558904,150,"99,91,15,55,58,89,90,04,","ความมั่นคง,การงาน,การเงิน,ความรัก,การเรียน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,"
0918857076,292,"91,18,88,85,57,70,07,76,","การงาน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ประมาท,ความเครียด,ปัญหาด้านสุขภาพ,"
0919399039,300,"91,19,93,39,99,90,03,39,","การงาน,การเรียน,ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,"
0992400139,1200,"99,92,24,40,00,01,13,39,","ความมั่นคง,การงาน,ความรัก,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ประมาท,การเรียน,"
0914596990,271,"91,14,45,59,96,69,99,90,","การงาน,การเงิน,การเรียน,ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,"
0913207898,1415,"91,13,32,20,07,78,89,98,","การงาน,ประมาท,ความรัก,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,ปัญหาด้านสุขภาพ,ความมั่นคง,"
0991263740,750,"99,91,12,26,63,37,74,40,","ความมั่นคง,การงาน,ประมาท,ความเครียด,การเงิน,ความรัก,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0910180016,1100,"91,10,01,18,80,00,01,16,","การงาน,ประมาท,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านสุขภาพ,การเรียน,"
0912695757,15999,"91,12,26,69,95,57,75,57,","การงาน,ประมาท,ความเครียด,การเงิน,ความรัก,มีปัญหาด้านการเงิน,"
0991505058,249,"99,91,15,50,05,50,05,58,","ความมั่นคง,การงาน,การเงิน,ความรัก,การเรียน,ปัญหาด้านสุขภาพ,"
0991644137,200,"99,91,16,64,44,41,13,37,","ความมั่นคง,การงาน,การเรียน,ความรัก,ประมาท,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0912695441,14000,"91,12,26,69,95,54,44,41,","การงาน,ประมาท,ความเครียด,การเงิน,ความรัก,การเรียน,"
0919433563,800,"91,19,94,43,33,35,56,63,","การงาน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านความรัก,"
0912016971,7500,"91,12,20,01,16,69,97,71,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,การเรียน,"
0991285082,3849,"99,91,12,28,85,50,08,82,","ความมั่นคง,การงาน,ประมาท,ความเครียด,การเงิน,ปัญหาด้านสุขภาพ,"
0912974958,6600,"91,12,29,97,74,49,95,58,","การงาน,ประมาท,ความเครียด,การเงิน,"
0912185377,47799,"91,12,21,18,85,53,37,77,","การงาน,ประมาท,ความเครียด,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0991123300,549,"99,91,11,12,23,33,30,00,","ความมั่นคง,การงาน,ประมาท,ชีวิตอุปสรรค,ความเครียด,ความรัก,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,"
0919338660,590,"91,19,93,33,38,86,66,60,","การงาน,การเรียน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0911636456,240,"91,11,16,63,36,64,45,56,","การงาน,ประมาท,ชีวิตอุปสรรค,การเรียน,การเงิน,ความรัก,"
0916954212,250,"91,16,69,95,54,42,21,12,","การงาน,การเรียน,การเงิน,ความรัก,ประมาท,ความเครียด,"
0991301139,150,"99,91,13,30,01,11,13,39,","ความมั่นคง,การงาน,ประมาท,ปัญหาด้านสุขภาพ,ชีวิตอุปสรรค,การเรียน,"
0914440898,2863,"91,14,44,44,40,08,89,98,","การงาน,การเงิน,การเรียน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ความมั่นคง,"
0990426308,249,"99,90,04,42,26,63,30,08,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ความรัก,การเงิน,ประมาท,"
0991155432,125,"99,91,11,15,55,54,43,32,","ความมั่นคง,การงาน,ประมาท,ชีวิตอุปสรรค,การเงิน,ความรัก,การเรียน,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านความรัก,"
0919304188,450,"91,19,93,30,04,41,18,88,","การงาน,การเรียน,ประมาท,ปัญหาด้านสุขภาพ,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0919690702,1089,"91,19,96,69,90,07,70,02,","การงาน,การเงิน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0912794467,14900,"91,12,27,79,94,44,46,67,","การงาน,ประมาท,ความเครียด,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0919883372,300,"91,19,98,88,83,33,37,72,","การงาน,ความมั่นคง,มีปัญหาด้านการเงิน,ประมาท,ปัญหาด้านความรัก,ชีวิตอุปสรรค,"
0916666459,1700,"91,16,66,66,66,64,45,59,","การงาน,การเรียน,ความรัก,การเงิน,"
0912101169,180000,"91,12,21,10,01,11,16,69,","การงาน,ประมาท,ความเครียด,ชีวิตอุปสรรค,การเรียน,การเงิน,"
0912306898,24999,"91,12,23,30,06,68,89,98,","การงาน,ประมาท,ความเครียด,ความรัก,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ความมั่นคง,"
0919007780,189,"91,19,90,00,07,77,78,80,","การงาน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,"
0919376608,390,"91,19,93,37,76,66,60,08,","การงาน,การเรียน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ความเครียด,ปัญหาด้านสุขภาพ,"
0990151567,195,"99,90,01,15,51,15,56,67,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,การเงิน,ความรัก,การเรียน,การงาน,"
0990288834,350,"99,90,02,28,88,88,83,34,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,การงาน,ประมาท,"
0991289667,1299,"99,91,12,28,89,96,66,67,","ความมั่นคง,การงาน,ประมาท,ความเครียด,การเงิน,ชีวิตอุปสรรค,"
0991486800,200,"99,91,14,48,86,68,80,00,","ความมั่นคง,การงาน,การเงิน,การเรียน,ชีวิตอุปสรรค,ปัญหาด้านความรัก,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านสุขภาพ,"
0919533880,300,"91,19,95,53,33,38,88,80,","การงาน,การเงิน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ประมาท,ความเครียด,ปัญหาด้านสุขภาพ,"
0991208699,750,"99,91,12,20,08,86,69,99,","ความมั่นคง,การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,"
0912295726,20499,"91,12,22,29,95,57,72,26,","การงาน,ประมาท,ความเครียด,ความรัก,การเงิน,มีปัญหาด้านการเงิน,ชีวิตอุปสรรค,ปัญหาด้านความรัก,"
0911571585,240,"91,11,15,57,71,15,58,85,","การงาน,ประมาท,ชีวิตอุปสรรค,การเงิน,ความรัก,การเรียน,มีปัญหาด้านการเงิน,ความเครียด,"
0917766372,549,"91,17,77,76,66,63,37,72,","การงาน,ชีวิตอุปสรรค,ความเครียด,การเงิน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0916697435,140,"91,16,66,69,97,74,43,35,","การงาน,การเรียน,การเงิน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านความรัก,"
0912809347,8499,"91,12,28,80,09,93,34,47,","การงาน,ประมาท,ความเครียด,การเงิน,ปัญหาด้านสุขภาพ,ชีวิตอุปสรรค,การเรียน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0912875131,12900,"91,12,28,87,75,51,13,31,","การงาน,ประมาท,ความเครียด,การเงิน,มีปัญหาด้านการเงิน,ความรัก,การเรียน,"
0916429990,590,"91,16,64,42,29,99,99,90,","การงาน,การเรียน,ความรัก,ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,"
0990115299,65,"99,90,01,11,15,52,29,99,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,การเงิน,ความรัก,การเรียน,การงาน,"
0919913842,789,"91,19,99,91,13,38,84,42,","การงาน,ความมั่นคง,ประมาท,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,"
0919620343,990,"91,19,96,62,20,03,34,43,","การงาน,การเงิน,ความรัก,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ประมาท,ปัญหาด้านสุขภาพ,ชีวิตอุปสรรค,ความเครียด,"
0912016705,9000,"91,12,20,01,16,67,70,05,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,การเรียน,ปัญหาด้านสุขภาพ,"
0912051830,8979,"91,12,20,05,51,18,83,30,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,การเรียน,ชีวิตอุปสรรค,"
0919310471,789,"91,19,93,31,10,04,47,71,","การงาน,การเรียน,ประมาท,ชีวิตอุปสรรค,ความเครียด,"
0919744996,300,"91,19,97,74,44,49,99,96,","การงาน,การเงิน,ความมั่นคง,"
0916410454,455,"91,16,64,41,10,04,45,54,","การงาน,การเรียน,ความรัก,ประมาท,ชีวิตอุปสรรค,การเงิน,"
0992749136,200,"99,92,27,74,49,91,13,36,","ความมั่นคง,การงาน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ประมาท,"
0911535548,159,"91,11,15,53,35,55,54,48,","การงาน,ประมาท,ชีวิตอุปสรรค,การเงิน,ความรัก,การเรียน,ปัญหาด้านความรัก,"
0918331744,679,"91,18,83,33,31,17,74,44,","การงาน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ประมาท,ความเครียด,"
0919562710,489,"91,19,95,56,62,27,71,10,","การงาน,การเงิน,ความรัก,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ความเครียด,ประมาท,"
0910951848,1200,"91,10,09,95,51,18,84,48,","การงาน,ประมาท,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,การเงิน,ความรัก,การเรียน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0992403053,150,"99,92,24,40,03,30,05,53,","ความมั่นคง,การงาน,ความรัก,ชีวิตอุปสรรค,ประมาท,ปัญหาด้านสุขภาพ,"
0991541604,129,"99,91,15,54,41,16,60,04,","ความมั่นคง,การงาน,การเงิน,ความรัก,การเรียน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,"
0912575931,11499,"91,12,25,57,75,59,93,31,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,การเรียน,"
0917503323,159,"91,17,75,50,03,33,32,23,","การงาน,ชีวิตอุปสรรค,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านสุขภาพ,ประมาท,ความรัก,"
0912953316,9500,"91,12,29,95,53,33,31,16,","การงาน,ประมาท,ความเครียด,การเงิน,การเรียน,"
0912961118,19500,"91,12,29,96,61,11,11,18,","การงาน,ประมาท,ความเครียด,การเงิน,การเรียน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
